Blaidd's Gauntlets;3.6;3.2;3.6;3.8;2.8;3.2;2.7;2.9;13;21;8;8;5;4.6
Blue Silver Bracelets;2.3;1.5;2.5;1.9;1.9;1.6;1;1;4;14;;4;1;2.1
Brave's Bracer;0.6;0.6;0.6;0.1;3.1;2.8;2.9;3.1;12;6;;20;;0.8
Cuckoo Knight Gauntlets;3.3;2.8;3.6;3.3;3.1;2.9;2.1;2.5;11;19;8;8;4;3.9
Depraved Perfumer Gloves;1.5;1.5;1.4;1.2;3.2;3.1;3.1;3.1;23;8;20;28;1;2
Drake Knight Gauntlets;2.8;2.3;2.9;2.8;2.5;2.8;2.1;2.5;8;15;7;7;3;3.1
Eccentric's Manchettes;2.9;2.1;2.8;2.9;2.1;2.3;1.5;1.9;8;18;6;4;3;2.9
Fingerprint Gauntlets;3.3;2.9;2.9;2.9;2.3;3.1;1.6;2.3;11;20;4;8;4;3.5
Fire Prelate Gauntlets;4.9;4.3;4.6;4.6;3.3;5;3.2;3.3;22;21;30;17;9;8.2
Godrick Soldier Gauntlets;3.2;2.8;3.2;3.1;2.5;2.7;1.9;2.3;11;18;8;8;4;3.5
Godskin Noble Bracelets;1.3;2.1;1.5;1.3;3.2;2.9;3.1;3.4;14;8;24;25;1;1.7
Gold Bracelets;1;0.6;0.6;0.1;2.9;2.8;2.9;3.2;13;4;20;20;0;0.8
Golden Prosthetic;1.5;1.5;1.5;1.3;3.2;3.1;3.2;3.2;15;8;;25;;2.8
Guardian Bracers;2.7;2.5;2.5;2.3;2.9;2.8;2.9;2.9;25;17;20;19;1;2.9
Haligtree Knight Gauntlets;3.3;3.1;3.3;3.3;2.5;2.8;2.3;2.8;12;19;8;8;4;3.9
Leather Gloves;1.9;2.3;1.9;2.1;2.3;2.3;2.5;2.5;20;12;14;17;1;2.4
Lusat's Manchettes;1.3;0.1;1.3;0.1;3.4;2.8;3.1;3.1;12;6;20;22;0;1.1
Malenia's Gauntlet;3.1;2.3;3.2;2.8;1.9;2.3;1.6;2.7;17;14;6;6;3;3.1
Mausoleum Gauntlets;3.2;2.7;3.3;3.1;2.5;2.5;2.1;2.5;11;17;8;7;4;3.5
Mausoleum Knight Gauntlets;3.3;2.8;3.6;3.2;2.7;2.8;2.5;2.8;12;18;8;8;4;3.9
Millicent's Gloves;1;1;1;0.6;3.1;2.9;3.1;3.1;13;7;;21;;1.1
Night's Cavalry Gauntlets;3.5;3.2;3.5;3.3;2.7;3.1;2.7;3.1;13;19;8;8;4;4.3
Nox Bracelets;2.1;2.3;2.1;1.9;2.9;2.8;2.8;2.3;20;13;15;15;1;2.6
Omen Gauntlets;4.6;3.7;4.7;4.7;3.2;3.6;3.7;3.4;22;21;19;25;9;7.7
Radahn Soldier Gauntlets;3.3;2.7;3.1;2.9;2.5;2.8;1.9;2.3;11;17;8;8;4;3.5
Ragged Gloves;2.3;2.5;2.3;2.3;2.7;2.8;2.9;2.7;21;14;18;18;2;2.9
Redmane Knight Gauntlets;3.5;2.8;3.3;3.1;2.7;3.1;2.3;2.7;12;18;8;8;4;3.9
Ronin's Gauntlets;2.7;2.7;2.8;2.7;2.9;3.1;3.2;2.9;25;19;20;21;2;3.1
Royal Knight Gauntlets;4;3.6;4.4;4.2;3.5;3.3;3.1;3.2;17;22;12;12;5;5.2
Royal Remains Gauntlets;2.9;2.8;3.2;2.9;2.3;2.5;1.9;2.1;12;19;8;4;3;3.5
Spellblade's Gloves;0.9;0.5;0.9;0.9;3.1;2.7;2.8;3.1;11;6;19;20;0;1.2
Traveler's Gloves;1.3;1.3;1;0.6;3.2;3.2;3.1;3.2;18;7;22;21;0;1.4
Traveler's Manchettes;1.6;1.5;1.3;1;3.3;3.2;3.2;3.1;13;8;25;25;1;1.7
Tree Sentinel Gauntlets;4.7;3.7;4.7;4.4;3.2;4.3;3.1;3.5;22;30;14;15;6;6.3
War Surgeon Gloves;1.6;1.8;2;1.6;2.2;2.4;2.6;2.4;18;13;15;17;1;2.3
